Type;Fuel;Segment;Euro Standart;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;;
passengerCar;Petrol;large;Euro 6 d-temp;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;Petrol;large;Euro 6 d-temp;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;Petrol;large;Euro 6 d-temp;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;Petrol;large;Euro 6 d;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;Petrol;large;Euro 6 d;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;Petrol;large;Euro 6 d;0;-0.00156;3.24525;0;-0.00011;0.01894;0.2601;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 4;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 4;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 5;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 5;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 6 a/b/c;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 6 a/b/c;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;mini;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 4;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 4;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 5;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 5;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 6 a/b/c;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 6 a/b/c;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;small;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 4;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 4;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 5;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 5;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 6 a/b/c;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
