Type;Fuel;Segment;Euro Standart;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;;
lightCommercial;Diesel;N1-II;Euro 5;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-II;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Conventional;0.00213;-0.2668;14.99218;0;0;0;2.35811;;;;;;;
lightCommercial;Diesel;N1-III;Euro 1;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-III;Euro 2;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-III;Euro 3;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-III;Euro 4;0.00265;-0.33558;18.40174;0;0;0;3.1364;;;;;;;
lightCommercial;Diesel;N1-III;Euro 5;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 a/b/c;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d-temp;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
lightCommercial;Diesel;N1-III;Euro 6 d;0.00001;0.06068;4.19076;2.91223;-0.00031;0.06121;0.36592;;;;;;;
