Type;Fuel;Segment;Euro Standart;Road Slope;Load;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro II;-0.04;1.00;-0.0000424956282262513;0.0168146139855585;3.41164237493139;-14.2326724370328;0.00141975761964521;0.0230607448887142;0.15904910423137;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro II;0.00;0.00;0.000627936878474894;0.0589659417323413;5.1855251186105;43.3125508972167;-0.000246206839755838;0.0527799161320031;0.978336226966087;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro II;0.00;0.5;0.00308799860010462;-0.219222661472816;8.76351940826391;12.5508402964699;0.000359712179219433;-0.0125548681323893;1.28970440194014;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro II;0.00;1.00;0.00412977112212923;-0.291983199162138;12.2103264243775;15.9021941214634;0.000458160519294149;-0.0147374202270033;1.64570410568547;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro II;0.04;0.00;0.000262628414236726;0.0389699543932676;2.14346430093227;7.03877592502708;-0.000054528484722946;0.0131164431216664;0.220209462130641;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro II;0.04;0.5;0.000290256280768759;0.0512113350371102;2.48041657903916;6.67124507323085;-0.0000534571335927062;0.0131882578795706;0.214374775025616;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro II;0.04;1.00;0.00019225687083466;0.0749947775524231;2.84365267731624;4.92709112784716;-0.0000478659366614999;0.0136996874526317;0.207541725499365;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro III;-0.04;0.00;0.00154675227937883;-0.126484365291471;3.48544405085509;21.4257938091349;0.00061476947947569;-0.0257544257439077;1.15291256221414;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro III;-0.04;0.5;-0.0000797179548368889;0.0740497410524436;5.21393298102106;-15.0299116690272;0.00201834391680376;0.0615034042755096;0.0919372403304003;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro III;-0.04;1.00;-0.0000470908181992229;0.022580073598255;3.09344736338184;-12.1290074521971;0.00114489596270807;0.0226660903026841;0.114516440231715;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro III;0.00;0.00;0.000521852237127615;0.0508260241479706;4.50141047786421;38.4812357468964;-0.000198775010304779;0.0431058402870805;0.780334194906427;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro III;0.00;0.5;0.00377378882125323;-0.27666207766901;11.6320189811386;13.1390610476189;0.000372960811917054;-0.0106258199865199;1.52083889895135;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro III;0.00;1.00;0.00180102560899968;-0.12991803592917;5.61996825017082;6.42426224507636;0.000181219220721805;-0.00511531469978239;0.691585417628261;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro III;0.04;0.00;0.000236500974863154;0.0439190333756732;2.3018072720162;6.87327154033016;-0.0000514798862365382;0.0133283709036505;0.215721826527019;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro III;0.04;0.5;0.000250995867896697;0.0565704030472288;2.64075200353398;6.53880345563024;-0.0000498594368727575;0.0132932135286085;0.210647086682416;;;;;;
